hotel_id,city,check_in,check_out,breakfast_0_1,accommadation_type,distance_km,Sustain_cert,reviews_0_10,nr_reviews,Price_euro
1,Berlin,2/5/2025,2/6/2025,0,Hotel,2.9,0,8.199999999999999,3159,117
2,Berlin,2/5/2025,2/6/2025,0,Hotel,17.3,0,8.6,6049,72
3,Berlin,2/5/2025,2/6/2025,0,Hotel,7.4,0,8.699999999999999,44,155
4,Berlin,2/5/2025,2/6/2025,0,Pension,4.5,0,7.4,669,62
5,Berlin,2/5/2025,2/6/2025,0,Hotel,3.9,0,8.5,23837,122
6,Berlin,2/5/2025,2/6/2025,0,Hostel,1.4,0,7.5,6705,16
7,Berlin,2/5/2025,2/6/2025,0,Hostel,1.7,1,7.4,12280,78
8,Berlin,2/5/2025,2/6/2025,0,Hotel,17.2,1,8.4,2780,85
9,Berlin,2/5/2025,2/6/2025,0,Hotel,3.8,0,8.4,7916,160
10,Berlin,2/5/2025,2/6/2025,0,Hotel,5.6,1,8.300000000000001,9294,140
11,Berlin,2/5/2025,2/6/2025,0,Hotel,11.2,0,8.1,4066,74
12,Berlin,2/5/2025,2/6/2025,0,Hotel,5.6,1,8.300000000000001,5209,119
13,Berlin,2/5/2025,2/6/2025,0,Hotel,1.8,0,8.699999999999999,10379,139
14,Berlin,2/5/2025,2/6/2025,0,Hotel,3.1,1,8,5921,134
15,Berlin,2/5/2025,2/6/2025,0,Hotel,3.4,0,8.199999999999999,8749,149
16,Berlin,2/5/2025,2/6/2025,0,Hotel,2.9,0,8,2348,129
17,Berlin,2/5/2025,2/6/2025,0,Aparthotel,5.5,1,8.300000000000001,2347,83
18,Berlin,2/5/2025,2/6/2025,0,Hotel,4.5,0,8.9,936,84
19,Berlin,2/5/2025,2/6/2025,0,Aparthotel,6.1,0,8.699999999999999,1504,170
20,Berlin,2/5/2025,2/6/2025,0,Hotel,3.6,0,7.8,526,85
21,Berlin,2/5/2025,2/6/2025,0,Aparthotel,4.2,0,9.300000000000001,1671,210
22,Berlin,2/5/2025,2/6/2025,0,Hostel,1.6,0,8.1,6376,19
23,Berlin,2/5/2025,2/6/2025,1,Hotel,3.2,0,8.9,979,200
24,Berlin,2/5/2025,2/6/2025,0,Hotel,1.7,0,8.300000000000001,6973,141
25,Berlin,2/5/2025,2/6/2025,1,Hotel,4.4,0,8.300000000000001,3993,131
26,Berlin,2/5/2025,2/6/2025,0,Hostel,2.9,0,7.8,2364,22
27,Berlin,2/5/2025,2/6/2025,0,Hotel,6.6,1,8.199999999999999,3010,127
28,Berlin,2/5/2025,2/6/2025,0,Hotel,5,0,8.5,1314,114
29,Berlin,2/5/2025,2/6/2025,0,Hotel,1.2,1,8.4,3676,161
30,Berlin,2/5/2025,2/6/2025,0,Hotel,1.3,1,8.4,14783,214
31,Berlin,2/5/2025,2/6/2025,0,Hotel,1.7,1,7.7,1413,171
32,Berlin,2/5/2025,2/6/2025,1,Hotel,3.1,0,7.9,5232,147
33,Berlin,2/5/2025,2/6/2025,0,Hotel,2.7,1,7.7,1003,134
34,Berlin,2/5/2025,2/6/2025,0,Hotel,2.1,1,8.4,2414,193
35,Berlin,2/5/2025,2/6/2025,0,Hotel,4.8,0,8.199999999999999,2728,73
36,Berlin,2/5/2025,2/6/2025,0,Hotel,6.9,1,8.5,2074,124
37,Berlin,2/5/2025,2/6/2025,0,Hotel,6.8,1,7.5,6403,96
38,Berlin,2/5/2025,2/6/2025,0,Hotel,4.9,0,9,1829,158
39,Berlin,2/5/2025,2/6/2025,0,Hotel,1.1,1,8.4,7951,146
40,Berlin,2/5/2025,2/6/2025,0,Hostel,4.6,0,8.1,4193,20
41,Berlin,2/5/2025,2/6/2025,0,Hotel,8.199999999999999,0,7.8,4108,157
42,Berlin,2/5/2025,2/6/2025,0,Aparthotel,14.5,0,8.4,582,114
43,Berlin,2/5/2025,2/6/2025,0,Hotel,4.8,0,8.6,5453,202
44,Berlin,2/5/2025,2/6/2025,0,Hotel,1.2,1,7.4,4113,171
45,Berlin,2/5/2025,2/6/2025,0,Hotel,3.2,0,8.6,686,134
46,Berlin,2/5/2025,2/6/2025,0,Gasthaus,2.2,1,7.9,911,87
47,Berlin,2/5/2025,2/6/2025,0,Aparthotel,5.8,0,8.300000000000001,3542,156
48,Berlin,2/5/2025,2/6/2025,0,Hotel,1.9,0,7.3,6140,121
49,Berlin,2/5/2025,2/6/2025,0,Hotel,2.7,1,8.4,4920,160
50,Berlin,2/5/2025,2/6/2025,0,Hostel,2.3,0,8.6,3024,27
51,Berlin,2/5/2025,2/6/2025,0,Hotel,2.7,0,8.5,2495,149
52,Berlin,2/5/2025,2/6/2025,0,Hotel,4.9,0,7.3,3886,41
53,Berlin,2/5/2025,2/6/2025,0,Hostel,4.7,0,7.7,1855,16
54,Berlin,2/5/2025,2/6/2025,0,Aparthotel,2.2,0,9,1655,154
55,Berlin,2/5/2025,2/6/2025,0,Aparthotel,1.4,0,8.9,5149,204
56,Berlin,2/5/2025,2/6/2025,0,Hotel,1.9,1,8.699999999999999,4680,210
57,Berlin,2/5/2025,2/6/2025,0,Hotel,1.9,1,8.5,6497,164
58,Berlin,2/5/2025,2/6/2025,0,Hostel,2,0,8.4,4126,18
59,Berlin,2/5/2025,2/6/2025,0,Hotel,1.4,1,7.3,13636,89
60,Berlin,2/5/2025,2/6/2025,0,Hotel,3.9,1,7.9,4405,87
61,Berlin,2/5/2025,2/6/2025,0,Hotel,3.7,0,7.9,2557,192
62,Berlin,2/5/2025,2/6/2025,0,Hotel,6.6,0,8.6,1805,150
63,Berlin,2/5/2025,2/6/2025,0,Hotel,4.1,0,8.300000000000001,9609,297
64,Berlin,2/5/2025,2/6/2025,0,Hotel,3.3,0,7.6,940,134
65,Berlin,2/5/2025,2/6/2025,0,Hotel,15.3,0,8.300000000000001,5692,118
66,Berlin,2/5/2025,2/6/2025,0,Aparthotel,2.6,0,8.300000000000001,3067,172
67,Berlin,2/5/2025,2/6/2025,0,Hostel,3,0,9,1083,29
68,Berlin,2/5/2025,2/6/2025,1,Hotel,4,0,8.4,943,157
69,Berlin,2/5/2025,2/6/2025,0,Hotel,1.5,0,8.800000000000001,1171,164
70,Berlin,2/5/2025,2/6/2025,0,Hotel,2.1,1,8.1,18766,368
71,Berlin,2/5/2025,2/6/2025,0,Hotel,4.2,1,8.300000000000001,2626,326
72,Berlin,2/5/2025,2/6/2025,0,Hotel,6.2,0,8.199999999999999,131,99
73,Berlin,2/5/2025,2/6/2025,0,Hotel,10.2,0,8.300000000000001,2142,81
74,Berlin,2/5/2025,2/6/2025,0,Hotel,11.2,0,6.7,637,65
75,Berlin,2/5/2025,2/6/2025,0,Hotel,7.6,0,7.5,1842,91
76,Berlin,2/5/2025,2/6/2025,0,Hotel,5.5,0,9.4,1141,532
77,Berlin,2/5/2025,2/6/2025,0,Hotel,2.9,0,8.5,559,181
78,Berlin,2/5/2025,2/6/2025,0,Hotel,1.4,0,8.300000000000001,11006,219
79,Berlin,2/5/2025,2/6/2025,0,Hotel,4.9,0,7.9,881,139
80,Berlin,2/5/2025,2/6/2025,0,Hotel,3.2,0,6.1,2932,92
81,Berlin,2/5/2025,2/6/2025,0,Hotel,1.1,0,7.6,16198,22
82,Berlin,2/5/2025,2/6/2025,0,Studentenunterkunft,1.3,0,8.1,4509,14
83,Berlin,2/5/2025,2/6/2025,0,Hotel,.6,0,7.7,2943,177
84,Berlin,2/5/2025,2/6/2025,0,Hotel,11.4,1,7.9,2981,203
85,Berlin,2/5/2025,2/6/2025,0,Hotel,14.2,1,7.9,1608,130
86,Berlin,2/5/2025,2/6/2025,0,Hotel,2.8,1,8.4,5558,189
87,Berlin,2/5/2025,2/6/2025,0,Hotel,3.8,0,7.2,2095,118
88,Berlin,2/5/2025,2/6/2025,0,Hotel,7.4,0,7.4,7221,89
89,Berlin,2/5/2025,2/6/2025,0,Hotel,2.1,0,8.5,3184,206
90,Berlin,2/5/2025,2/6/2025,1,Hotel,.8,0,8.4,12434,252
91,Berlin,2/5/2025,2/6/2025,1,Hotel,3.7,0,7.8,6250,143
92,Berlin,2/5/2025,2/6/2025,0,Hotel,1.5,0,7.5,5656,170
93,Berlin,2/5/2025,2/6/2025,0,Hotel,1.7,0,8.699999999999999,734,170
94,Berlin,2/5/2025,2/6/2025,0,Hotel,3.2,0,7.7,6037,120
95,Berlin,2/5/2025,2/6/2025,0,Hostel,3.3,1,7.2,9181,12
96,Berlin,2/5/2025,2/6/2025,0,Hostel,1.8,0,7.6,4303,15
97,Berlin,2/5/2025,2/6/2025,0,Hotel,3.8,1,8,1799,149
98,Berlin,2/5/2025,2/6/2025,0,Hotel,1.5,0,7.6,2490,177
99,Berlin,2/5/2025,2/6/2025,1,Hotel,1.6,0,8.5,9242,189
100,Berlin,2/5/2025,2/6/2025,0,Hotel,4.5,1,8.4,4307,229
101,Berlin,2/5/2025,2/6/2025,0,Hotel,2.9,0,7.2,2005,117
102,Berlin,2/5/2025,2/6/2025,0,Hotel,1.7,1,8.4,1854,171
103,Berlin,2/5/2025,2/6/2025,0,Hotel,3.4,1,7.9,1723,193
104,Berlin,2/5/2025,2/6/2025,0,Hotel,1.1,1,8.1,13984,246
105,Berlin,2/5/2025,2/6/2025,0,Hotel,6.6,0,7.1,2362,93
106,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,3.2,0,8.199999999999999,1484,197
107,Berlin,2/5/2025,2/6/2025,0,Hotel,2.6,1,7.7,17121,230
108,Berlin,2/5/2025,2/6/2025,0,Aparthotel,4.6,0,7.7,1410,107
109,Berlin,2/5/2025,2/6/2025,0,Hotel,1.4,1,8.1,3570,188
110,Berlin,2/5/2025,2/6/2025,0,Hostel,2.7,0,8.199999999999999,158,27
111,Berlin,2/5/2025,2/6/2025,1,Hotel,4.6,1,8.4,7193,245
112,Berlin,2/5/2025,2/6/2025,0,Hotel,3.7,1,8.4,3328,241
113,Berlin,2/5/2025,2/6/2025,0,Hotel,1.4,1,7.7,3848,104
114,Berlin,2/5/2025,2/6/2025,0,Hotel,2.4,0,7.1,640,67
115,Berlin,2/5/2025,2/6/2025,0,Hotel,1.3,1,8,4171,192
116,Berlin,2/5/2025,2/6/2025,0,Hotel,2.6,0,8.800000000000001,1253,237
117,Berlin,2/5/2025,2/6/2025,0,Hotel,12.2,0,7.7,3999,130
118,Berlin,2/5/2025,2/6/2025,1,Hotel,1.7,1,8.199999999999999,12453,235
119,Berlin,2/5/2025,2/6/2025,0,Hotel,15.6,0,7.7,580,80
120,Berlin,2/5/2025,2/6/2025,0,Hotel,4.1,0,8,1582,166
121,Berlin,2/5/2025,2/6/2025,0,Hotel,1.5,0,8.699999999999999,4527,152
122,Berlin,2/5/2025,2/6/2025,0,Hotel,5.3,0,7.9,1541,130
123,Berlin,2/5/2025,2/6/2025,0,Hotel,1.1,0,8.199999999999999,2844,175
124,Berlin,2/5/2025,2/6/2025,1,Hotel,1.9,0,8.199999999999999,1312,149
125,Berlin,2/5/2025,2/6/2025,0,Hotel,1.7,1,7.9,1555,183
126,Berlin,2/5/2025,2/6/2025,0,Hostel,3,0,7.8,6002,14
127,Berlin,2/5/2025,2/6/2025,0,Hotel,1.5,0,8.6,2028,144
128,Berlin,2/5/2025,2/6/2025,0,Hotel,2.3,1,8,3699,135
129,Berlin,2/5/2025,2/6/2025,0,Aparthotel,5.4,0,8.199999999999999,2458,142
130,Berlin,2/5/2025,2/6/2025,0,Hotel,11.7,0,8.4,3392,181
131,Berlin,2/5/2025,2/6/2025,0,Hotel,2.3,1,6.6,7609,109
132,Berlin,2/5/2025,2/6/2025,0,Hotel,4.5,1,8.300000000000001,462,117
133,Berlin,2/5/2025,2/6/2025,0,Hotel,10.6,1,8.4,7,70
134,Berlin,2/5/2025,2/6/2025,0,Hostel,4.1,0,8.9,193,39
135,Berlin,2/5/2025,2/6/2025,0,Hotel,1.6,0,5.2,2160,82
136,Berlin,2/5/2025,2/6/2025,0,Hotel,2.2,0,7.6,3192,150
137,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,12.4,0,8.6,1524,128
138,Berlin,2/5/2025,2/6/2025,0,Hotel,1.8,0,8.6,1129,140
139,Berlin,2/5/2025,2/6/2025,0,Hotel,2.6,1,7.5,6987,125
140,Berlin,2/5/2025,2/6/2025,0,Hotel,3.9,0,8.4,1077,113
141,Berlin,2/5/2025,2/6/2025,0,Hostel,4.3,0,7.4,3120,24
142,Berlin,2/5/2025,2/6/2025,0,Hotel,1,0,7.8,1954,203
143,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,2.4,0,8.5,1293,173
144,Berlin,2/5/2025,2/6/2025,0,Hotel,6.1,0,8.1,2776,177
145,Berlin,2/5/2025,2/6/2025,0,Hotel,3.1,0,8.4,1244,130
146,Berlin,2/5/2025,2/6/2025,0,Hotel,.9,1,8.4,14508,247
147,Berlin,2/5/2025,2/6/2025,0,Hotel,1.8,0,8.800000000000001,607,169
148,Berlin,2/5/2025,2/6/2025,0,Hotel,4.2,1,8.4,4593,241
149,Berlin,2/5/2025,2/6/2025,0,Hotel,1.9,0,7.7,1724,230
150,Berlin,2/5/2025,2/6/2025,0,Hotel,1.8,1,8.4,790,216
151,Berlin,2/5/2025,2/6/2025,0,Hotel,14.2,1,8.5,3118,231
152,Berlin,2/5/2025,2/6/2025,1,Hotel,3.7,0,7.9,1770,268
153,Berlin,2/5/2025,2/6/2025,0,Hostel,2.9,0,8.800000000000001,3587,19
154,Berlin,2/5/2025,2/6/2025,0,Hotel,18.4,0,8.300000000000001,529,125
155,Berlin,2/5/2025,2/6/2025,0,Hotel,12.3,0,8.9,405,85
156,Berlin,2/5/2025,2/6/2025,0,Ferienwohnung,3.3,0,8.4,434,217
157,Berlin,2/5/2025,2/6/2025,0,Hotel,5,0,8.4,2260,161
158,Berlin,2/5/2025,2/6/2025,0,Hotel,2.7,0,8.4,15220,279
159,Berlin,2/5/2025,2/6/2025,0,Hotel,2,0,9.1,2316,200
160,Berlin,2/5/2025,2/6/2025,0,Hotel,2.3,1,8.699999999999999,3135,225
161,Berlin,2/5/2025,2/6/2025,1,Hotel,20.5,0,7.1,1374,79
162,Berlin,2/5/2025,2/6/2025,0,Hotel,7.6,0,8.4,2150,100
163,Berlin,2/5/2025,2/6/2025,0,Hotel,1.6,0,7.3,1061,89
164,Berlin,2/5/2025,2/6/2025,0,Hotel,7.1,1,8.199999999999999,2140,127
165,Berlin,2/5/2025,2/6/2025,0,Hotel,3.5,0,8.6,2861,350
166,Berlin,2/5/2025,2/6/2025,0,Pension,5.3,0,6.8,470,55
167,Berlin,2/5/2025,2/6/2025,0,Hotel,2.1,0,8.199999999999999,6331,285
168,Berlin,2/5/2025,2/6/2025,0,Aparthotel,3,0,8.4,2475,146
169,Berlin,2/5/2025,2/6/2025,0,Hotel,3.5,0,8.199999999999999,1277,143
170,Berlin,2/5/2025,2/6/2025,0,Hotel,15.3,0,8.6,1543,97
171,Berlin,2/5/2025,2/6/2025,0,Hostel,4.8,0,8.699999999999999,1070,23
172,Berlin,2/5/2025,2/6/2025,0,Hostel,8.6,1,6.7,6901,58
173,Berlin,2/5/2025,2/6/2025,0,Hotel,1.4,1,8.300000000000001,13463,139
174,Berlin,2/5/2025,2/6/2025,0,Hotel,3.3,1,7,7636,165
175,Berlin,2/5/2025,2/6/2025,0,Hotel,8.9,0,8.199999999999999,1856,115
176,Berlin,2/5/2025,2/6/2025,0,Hotel,3.7,0,7.8,173,82
177,Berlin,2/5/2025,2/6/2025,0,Hotel,19,0,7.8,675,106
178,Berlin,2/5/2025,2/6/2025,0,Hotel,1,1,8.699999999999999,8216,343
179,Berlin,2/5/2025,2/6/2025,0,Hotel,4.2,0,7.6,992,140
180,Berlin,2/5/2025,2/6/2025,0,Hotel,11.7,0,8.300000000000001,2290,163
181,Berlin,2/5/2025,2/6/2025,0,Hotel,3.7,0,8.6,1585,372
182,Berlin,2/5/2025,2/6/2025,0,Hotel,3.4,1,8.5,11416,374
183,Berlin,2/5/2025,2/6/2025,0,Aparthotel,2.3,0,9.4,363,233
184,Berlin,2/5/2025,2/6/2025,0,Aparthotel,1.8,0,8.699999999999999,1927,207
185,Berlin,2/5/2025,2/6/2025,0,Aparthotel,1.8,0,8.9,3014,296
186,Berlin,2/5/2025,2/6/2025,0,Hotel,5.2,1,8.699999999999999,6985,311
187,Berlin,2/5/2025,2/6/2025,0,Hotel,3.1,1,9.199999999999999,2772,303
188,Berlin,2/5/2025,2/6/2025,0,Hotel,1.7,1,8.9,2107,321
